"Time-Date"	"Acc-X"	"Acc-Y"	"Acc-Z"	"Acc-Tmp"	"Gyro-X"	"Gyro-Y"	"Gyro-Z"	"Mag-X"	"Mag-Y"	"Mag-Z"	"Pressure-P"	"Pressure-T"	"Power-Voltage"
2510,000	1,020	9,765	-1,004	8,500	0,053	0,404	0,016	21,204	-31,365	-3,837	1010,770	30,250	3,998
2520,000	1,094	9,765	-1,005	8,500	0,062	0,423	0,007	21,573	-31,049	-4,183	1010,770	30,250	3,998
2530,000	1,169	9,689	-1,082	8,500	0,067	0,448	-0,007	21,204	-31,365	-4,167	1010,770	30,250	3,998
2540,000	1,169	9,689	-1,082	8,500	0,072	0,463	-0,026	21,209	-31,049	-4,163	1010,770	30,250	3,998
2550,000	1,169	9,689	-1,082	8,500	0,067	0,473	-0,040	20,840	-31,365	-4,147	1010,770	30,250	3,998
2560,000	1,095	9,689	-1,081	8,500	0,067	0,483	-0,054	21,204	-31,365	-4,167	1010,770	30,250	3,998
2570,000	1,095	9,689	-1,081	8,500	0,067	0,492	-0,068	21,568	-31,365	-4,187	1010,770	30,250	3,998
2580,000	1,020	9,689	-1,080	8,500	0,072	0,502	-0,073	21,204	-31,365	-4,497	1010,770	30,250	3,998
2590,000	1,095	9,689	-1,081	8,500	0,082	0,522	-0,077	21,204	-31,365	-4,497	1010,770	30,250	3,998
2600,000	1,169	9,689	-1,082	8,500	0,087	0,547	-0,086	21,204	-31,365	-4,497	1010,770	30,250	3,998
2610,000	1,169	9,689	-1,082	8,500	0,102	0,576	-0,091	21,204	-31,365	-4,497	1010,770	30,250	3,998
2620,000	1,169	9,689	-1,082	8,500	0,111	0,601	-0,105	21,562	-31,680	-4,521	1010,770	30,250	3,998
2630,000	1,243	9,689	-1,082	8,500	0,116	0,626	-0,114	21,568	-31,365	-4,517	1010,770	30,250	3,998
2640,000	1,244	9,612	-1,083	8,500	0,126	0,650	-0,118	21,568	-31,365	-4,517	1010,770	30,250	3,998
2650,000	1,169	9,612	-1,082	8,500	0,141	0,660	-0,123	21,568	-31,365	-4,847	1010,770	30,250	3,998
2660,000	1,169	9,536	-1,083	8,500	0,145	0,660	-0,118	21,562	-31,680	-4,521	1010,770	30,250	3,998
2670,000	1,095	9,536	-1,082	8,500	0,165	0,650	-0,117	21,921	-31,996	-4,546	1010,770	30,250	3,998
2680,000	1,021	9,460	-1,157	8,500	0,189	0,626	-0,121	21,562	-31,680	-4,521	1010,770	30,250	3,998
2690,000	1,021	9,460	-1,307	8,500	0,223	0,601	-0,120	21,568	-31,365	-4,517	1010,770	30,250	3,998
2700,000	1,021	9,460	-1,456	8,500	0,257	0,576	-0,118	21,573	-31,049	-4,513	1010,770	30,250	3,998
2710,000	1,021	9,460	-1,456	8,500	0,262	0,571	-0,118	21,568	-31,365	-4,517	1010,810	30,256	3,998
2720,000	1,095	9,460	-1,457	8,500	0,281	0,566	-0,122	21,926	-31,680	-4,541	1010,810	30,256	3,998
2730,000	1,169	9,536	-1,458	8,500	0,291	0,576	-0,127	21,562	-31,680	-4,521	1010,810	30,256	3,998
2740,000	1,169	9,612	-1,457	8,500	0,301	0,586	-0,136	21,926	-31,680	-4,541	1010,810	30,256	3,998
2750,000	1,169	9,689	-1,381	8,500	0,310	0,606	-0,145	21,926	-31,680	-4,541	1010,810	30,256	3,998
2760,000	1,095	9,689	-1,381	8,500	0,340	0,621	-0,149	21,926	-31,680	-4,541	1010,810	30,256	3,998
2770,000	1,020	9,689	-1,455	8,500	0,349	0,626	-0,158	22,290	-31,680	-4,232	1010,810	30,256	3,998
2780,000	1,021	9,536	-1,531	8,500	0,369	0,626	-0,157	22,290	-31,680	-4,232	1010,810	30,256	3,998
2790,000	1,021	9,536	-1,531	8,500	0,388	0,640	-0,157	22,290	-31,680	-4,232	1010,810	30,256	3,998
2800,000	1,021	9,460	-1,606	8,500	0,403	0,660	-0,152	22,290	-31,680	-4,232	1010,690	30,256	3,998
2810,000	1,095	9,460	-1,682	8,500	0,417	0,680	-0,137	22,290	-31,680	-4,232	1010,690	30,256	3,998
2820,000	1,170	9,460	-1,683	8,500	0,427	0,724	-0,119	22,290	-31,680	-3,902	1010,690	30,256	3,998
2830,000	1,170	9,460	-1,683	8,500	0,432	0,759	-0,114	22,659	-31,365	-3,918	1010,690	30,256	3,998
2840,000	1,095	9,536	-1,682	8,500	0,442	0,793	-0,109	22,290	-31,680	-3,902	1010,690	30,256	3,998
2850,000	1,021	9,536	-1,681	8,500	0,447	0,823	-0,095	22,290	-31,680	-3,902	1010,690	30,256	3,998
2860,000	0,946	9,536	-1,680	8,500	0,447	0,843	-0,081	22,654	-31,680	-3,922	1010,690	30,256	3,998
2870,000	0,946	9,536	-1,680	8,500	0,452	0,862	-0,067	22,290	-31,680	-3,572	1010,690	30,256	3,998
2880,000	0,946	9,536	-1,680	8,500	0,452	0,867	-0,039	22,296	-31,365	-3,568	1010,690	30,256	3,998
2890,000	0,946	9,536	-1,755	8,500	0,442	0,867	-0,021	21,926	-31,680	-3,882	1010,690	30,256	3,998
2900,000	0,946	9,536	-1,755	8,500	0,437	0,867	-0,012	21,926	-31,680	-4,212	1010,690	30,256	3,998
2910,000	1,021	9,536	-1,756	8,500	0,437	0,867	-0,003	22,290	-31,680	-3,572	1010,690	30,256	3,998
2920,000	1,095	9,536	-1,757	8,500	0,437	0,862	0,007	21,926	-31,680	-3,552	1010,690	30,256	3,998
2930,000	1,244	9,612	-1,833	8,500	0,432	0,852	0,016	21,932	-31,365	-3,548	1010,810	30,256	3,998
2940,000	1,318	9,689	-1,908	8,500	0,418	0,852	0,020	21,932	-31,365	-3,548	1010,810	30,256	3,998
2950,000	1,318	9,689	-1,983	8,500	0,398	0,862	0,024	21,932	-31,365	-3,548	1010,810	30,256	3,998
2960,000	1,317	9,765	-2,057	8,500	0,369	0,877	0,018	21,932	-31,365	-3,548	1010,810	30,256	3,998
2970,000	1,317	9,765	-1,982	8,500	0,340	0,897	0,013	21,926	-31,680	-3,552	1010,810	30,256	3,998
2980,000	1,243	9,689	-1,907	8,500	0,316	0,912	0,007	21,932	-31,365	-3,548	1010,810	30,256	3,998
2990,000	1,243	9,689	-1,832	8,500	0,292	0,917	-0,003	22,296	-31,365	-3,898	1010,810	30,256	3,998
3000,000	1,244	9,536	-1,833	8,500	0,253	0,917	-0,018	21,937	-31,049	-3,873	1010,810	30,256	3,998
3010,000	1,244	9,460	-1,759	8,500	0,233	0,912	-0,028	21,932	-31,365	-3,877	1010,810	30,256	3,998
3020,000	1,244	9,383	-1,685	8,500	0,214	0,897	-0,033	21,568	-31,365	-3,857	1010,810	30,256	3,998
3030,000	1,170	9,307	-1,609	8,500	0,185	0,887	-0,039	21,568	-31,365	-4,187	1010,810	30,256	3,998
3040,000	1,022	9,307	-1,533	8,500	0,165	0,867	-0,053	21,932	-31,365	-4,207	1010,810	30,256	3,998
3050,000	1,022	9,307	-1,533	8,500	0,136	0,848	-0,059	21,937	-31,049	-4,203	1010,810	30,256	3,998
3060,000	0,947	9,307	-1,532	8,500	0,083	0,808	-0,065	21,937	-31,049	-4,203	1010,810	30,256	3,998
3070,000	0,873	9,230	-1,457	8,500	0,044	0,778	-0,061	21,932	-31,365	-4,537	1010,810	30,256	3,998
3080,000	0,798	9,307	-1,530	8,500	0,010	0,734	-0,072	21,932	-31,365	-4,537	1010,690	30,256	3,998
3090,000	0,798	9,307	-1,530	8,500	-0,025	0,685	-0,082	21,932	-31,365	-4,867	1010,690	30,256	3,998
3100,000	0,873	9,307	-1,606	8,500	-0,063	0,640	-0,087	21,926	-31,680	-4,871	1010,690	30,256	3,998
3110,000	0,873	9,307	-1,606	8,500	-0,102	0,586	-0,111	21,932	-31,365	-5,197	1010,690	30,256	3,998
3120,000	0,873	9,307	-1,606	8,500	-0,190	0,497	-0,151	22,290	-31,680	-4,891	1010,690	30,256	3,998
3130,000	0,872	9,383	-1,680	8,500	-0,263	0,443	-0,167	21,926	-31,680	-5,531	1010,690	30,256	3,998
3140,000	0,872	9,383	-1,680	8,500	-0,331	0,379	-0,173	21,926	-31,680	-5,861	1010,690	30,256	3,998
3150,000	0,798	9,536	-1,753	8,500	-0,394	0,310	-0,170	21,926	-31,680	-5,861	1010,690	30,256	3,998
3160,000	0,797	9,765	-1,901	8,500	-0,448	0,226	-0,167	21,921	-31,996	-6,195	1010,690	30,256	3,998
3170,000	0,871	9,918	-2,126	8,500	-0,501	0,157	-0,145	22,290	-31,680	-6,211	1010,810	30,256	3,998
3180,000	1,019	9,994	-2,352	8,500	-0,540	0,088	-0,155	22,649	-31,996	-6,895	1010,810	30,256	3,998
3190,000	1,168	9,994	-2,503	8,500	-0,531	0,049	-0,164	22,285	-31,996	-6,875	1010,810	30,256	3,998
3200,000	1,465	9,994	-2,582	8,500	-0,507	0,014	-0,167	22,285	-31,996	-7,205	1010,690	30,256	3,998
3210,000	1,986	10,147	-2,512	8,500	-0,473	-0,001	-0,161	22,644	-32,312	-7,229	1010,690	30,256	3,998
3220,000	2,282	10,376	-2,363	8,500	-0,448	0,044	-0,137	22,649	-31,996	-7,555	1010,690	30,256	3,998
3230,000	2,281	10,606	-2,062	8,500	-0,438	0,103	-0,152	22,649	-31,996	-7,885	1010,690	30,256	3,998
3240,000	2,131	11,064	-1,756	8,500	-0,434	0,147	-0,166	22,649	-31,996	-7,885	1010,690	30,256	3,998
3250,000	1,757	11,599	-1,448	8,500	-0,409	0,167	-0,179	22,644	-32,312	-7,559	1010,690	30,256	3,998
3260,000	1,309	12,134	-1,288	8,500	-0,375	0,162	-0,206	23,008	-32,312	-8,239	1010,690	30,256	3,998
3270,000	0,936	12,363	-1,057	8,500	-0,351	0,147	-0,233	22,644	-32,312	-8,219	1010,690	30,256	3,998
3280,000	0,566	11,828	-0,982	8,500	-0,366	0,132	-0,266	23,002	-32,628	-8,573	1010,690	30,256	3,998
3290,000	0,049	10,758	-0,760	8,500	-0,438	0,137	-0,320	23,372	-32,312	-8,589	1010,810	30,256	3,998
3300,000	-0,616	9,536	-0,537	8,500	-0,463	0,123	-0,367	23,366	-32,628	-8,923	1010,810	30,256	3,998
3310,000	-0,984	8,619	-0,615	8,500	-0,448	0,073	-0,394	23,725	-32,944	-8,948	1010,810	30,256	3,998
3320,000	-0,983	8,237	-0,843	8,500	-0,410	-0,011	-0,378	23,725	-32,944	-9,278	1010,690	30,256	3,998
3330,000	-0,611	8,161	-1,223	8,500	-0,371	-0,119	-0,330	23,361	-32,944	-9,258	1010,690	30,256	3,998
3340,000	-0,314	8,390	-1,300	8,500	-0,342	-0,238	-0,272	23,725	-32,944	-9,278	1010,690	30,256	3,998
3350,000	-0,018	8,772	-1,150	8,500	-0,289	-0,400	-0,222	23,725	-32,944	-9,278	1010,690	30,256	3,998
3360,000	0,129	9,307	-0,698	8,500	-0,270	-0,484	-0,202	23,725	-32,944	-9,278	1010,690	30,256	3,998
3370,000	0,201	9,918	-0,244	8,500	-0,265	-0,524	-0,193	23,725	-32,944	-9,278	1010,690	30,256	3,998
3380,000	0,200	10,376	0,360	8,500	-0,275	-0,529	-0,188	23,720	-33,259	-9,282	1010,690	30,256	3,998
3390,000	0,124	10,606	0,962	8,500	-0,313	-0,499	-0,185	24,084	-33,259	-9,962	1010,690	30,256	3,998
3400,000	0,199	10,529	1,411	8,500	-0,367	-0,460	-0,182	24,084	-33,259	-9,632	1010,690	30,256	3,998
3410,000	0,349	10,224	1,706	8,500	-0,444	-0,395	-0,190	24,084	-33,259	-9,962	1010,690	30,256	3,998
3420,000	0,499	9,765	1,851	8,500	-0,473	-0,356	-0,177	24,084	-33,259	-9,962	1010,690	30,256	3,998
3430,000	0,649	9,460	1,846	8,500	-0,468	-0,316	-0,150	24,084	-33,259	-10,292	1010,690	30,256	3,998
3440,000	0,798	9,383	1,619	8,500	-0,439	-0,277	-0,116	24,084	-33,259	-10,292	1010,690	30,256	3,998
3450,000	0,947	9,307	1,317	8,500	-0,376	-0,238	-0,082	24,442	-33,575	-10,646	1010,690	30,256	3,998
3460,000	1,021	9,460	1,017	8,500	-0,352	-0,223	-0,090	24,078	-33,575	-10,296	1010,690	30,256	3,998
3470,000	0,797	9,612	0,646	8,500	-0,284	-0,193	-0,102	24,448	-33,259	-10,642	1010,690	30,256	3,998
3480,000	0,499	9,842	0,352	8,500	-0,254	-0,164	-0,130	24,448	-33,259	-10,642	1010,690	30,256	3,998
3490,000	-0,022	9,994	0,209	8,500	-0,245	-0,129	-0,162	24,442	-33,575	-10,976	1010,810	30,256	3,998
3500,000	-0,618	10,071	0,367	8,500	-0,249	-0,099	-0,195	24,448	-33,259	-10,972	1010,810	30,256	3,998
3510,000	-1,212	9,994	0,673	8,500	-0,264	-0,099	-0,210	24,801	-33,891	-11,000	1010,810	30,256	3,998
3520,000	-1,584	9,918	0,977	8,500	-0,284	-0,149	-0,219	24,806	-33,575	-10,996	1010,690	30,256	3,998
3530,000	-1,435	9,765	0,974	8,500	-0,318	-0,287	-0,201	24,806	-33,575	-11,326	1010,690	30,256	3,998
3540,000	-1,062	9,612	0,818	8,500	-0,342	-0,390	-0,164	24,806	-33,575	-10,996	1010,690	30,256	3,998
3550,000	-0,541	9,536	0,662	8,500	-0,352	-0,479	-0,107	24,812	-33,259	-11,322	1010,690	30,256	3,998
3560,000	-0,021	9,536	0,580	8,500	-0,347	-0,543	-0,055	24,812	-33,259	-11,322	1010,690	30,256	3,998
3570,000	0,500	9,536	0,424	8,500	-0,338	-0,588	-0,022	24,437	-33,891	-11,310	1010,690	30,256	3,998
3580,000	0,872	9,612	0,421	8,500	-0,314	-0,617	0,007	24,442	-33,575	-11,636	1010,690	30,256	3,998
3590,000	1,020	9,765	0,495	8,500	-0,284	-0,617	0,013	24,806	-33,575	-11,656	1010,690	30,256	3,998
3600,000	1,020	9,842	0,721	8,500	-0,265	-0,607	0,018	24,448	-33,259	-11,302	1010,690	30,256	3,998
3610,000	0,871	9,918	0,948	8,500	-0,255	-0,588	0,018	24,448	-33,259	-11,302	1010,760	30,281	4,003
3620,000	0,573	9,918	1,176	8,500	-0,250	-0,548	0,008	24,442	-33,575	-11,966	1010,760	30,281	4,003
3630,000	0,350	9,765	1,403	8,500	-0,245	-0,504	-0,015	24,812	-33,259	-11,652	1010,760	30,281	4,003
3640,000	0,127	9,765	1,480	8,500	-0,235	-0,440	-0,029	24,442	-33,575	-11,636	1010,760	30,281	4,003
3650,000	-0,096	9,765	1,408	8,500	-0,235	-0,395	-0,034	24,812	-33,259	-11,652	1010,760	30,281	4,003
3660,000	-0,245	9,842	1,335	8,500	-0,230	-0,361	-0,030	24,448	-33,259	-11,961	1010,760	30,281	4,003
3670,000	-0,320	9,918	1,187	8,500	-0,221	-0,341	-0,025	24,442	-33,575	-11,636	1010,760	30,281	4,003
3680,000	-0,320	9,918	0,962	8,500	-0,226	-0,326	-0,016	24,442	-33,575	-11,636	1010,760	30,281	4,003
3690,000	-0,171	9,918	0,735	8,500	-0,235	-0,312	-0,002	24,448	-33,259	-11,961	1010,760	30,281	4,003
3700,000	0,052	9,918	0,508	8,500	-0,235	-0,277	0,002	24,448	-33,259	-11,961	1010,760	30,281	4,003
3710,000	0,201	9,842	0,355	8,500	-0,230	-0,242	0,007	24,448	-33,259	-12,291	1010,760	30,281	4,003
3720,000	0,351	9,689	0,277	8,500	-0,225	-0,213	0,007	24,812	-33,259	-11,981	1010,760	30,281	4,003
3730,000	0,351	9,612	0,352	8,500	-0,211	-0,178	0,002	24,448	-33,259	-12,291	1010,760	30,281	4,003
3740,000	0,277	9,612	0,428	8,500	-0,191	-0,149	-0,011	24,448	-33,259	-12,291	1010,760	30,281	4,003
3750,000	0,128	9,612	0,504	8,500	-0,143	-0,114	-0,028	24,448	-33,259	-11,961	1010,760	30,281	4,003
3760,000	-0,021	9,689	0,582	8,500	-0,118	-0,095	-0,042	24,448	-33,259	-12,291	1010,760	30,281	4,003
3770,000	-0,096	9,689	0,583	8,500	-0,104	-0,075	-0,041	24,448	-33,259	-12,291	1010,760	30,281	4,003
3780,000	-0,096	9,689	0,583	8,500	-0,094	-0,055	-0,041	24,448	-33,259	-12,291	1010,760	30,281	4,003
3790,000	0,053	9,612	0,580	8,500	-0,089	-0,035	-0,041	24,453	-32,944	-11,957	1010,760	30,281	4,003
3800,000	0,277	9,612	0,578	8,500	-0,084	0,004	-0,046	24,812	-33,259	-12,311	1010,760	30,281	4,003
3810,000	0,574	9,612	0,499	8,500	-0,069	0,029	-0,050	24,448	-33,259	-12,621	1010,760	30,281	4,003
3820,000	0,797	9,689	0,572	8,500	-0,050	0,058	-0,055	24,812	-33,259	-12,311	1010,760	30,281	4,003
3830,000	0,871	9,689	0,646	8,500	-0,035	0,083	-0,054	24,448	-33,259	-12,291	1010,760	30,281	4,003
3840,000	0,946	9,765	0,721	8,500	-0,021	0,103	-0,054	24,817	-32,944	-12,307	1010,760	30,281	4,003
3850,000	0,871	9,842	0,797	8,500	-0,006	0,113	-0,054	24,812	-33,259	-12,311	1010,760	30,281	4,003
3860,000	0,722	9,918	0,875	8,500	-0,001	0,108	-0,049	24,812	-33,259	-12,641	1010,760	30,281	4,003
3870,000	0,573	9,918	0,951	8,500	-0,011	0,088	-0,044	24,812	-33,259	-12,311	1010,760	30,281	4,003
3880,000	0,424	9,918	1,028	8,500	-0,011	0,068	-0,049	24,812	-33,259	-12,311	1010,760	30,281	4,003
3890,000	0,276	9,842	1,029	8,500	-0,011	0,049	-0,058	24,812	-33,259	-12,311	1010,760	30,281	4,003
3900,000	0,127	9,765	1,030	8,500	-0,011	0,024	-0,067	24,812	-33,259	-11,981	1010,760	30,281	4,003
3910,000	0,053	9,765	1,031	8,500	-0,002	-0,006	-0,071	24,812	-33,259	-12,311	1010,760	30,281	4,003
3920,000	0,053	9,765	0,956	8,500	0,008	-0,021	-0,057	25,176	-33,259	-12,661	1010,760	30,281	4,003
3930,000	0,127	9,842	0,881	8,500	0,013	-0,035	-0,024	24,812	-33,259	-12,311	1010,760	30,281	4,003
3940,000	0,201	9,918	0,806	8,500	0,013	-0,035	-0,001	24,812	-33,259	-12,311	1010,760	30,281	4,003
3950,000	0,350	9,918	0,804	8,500	0,003	-0,045	0,022	25,181	-32,944	-12,327	1010,760	30,281	4,003
3960,000	0,499	9,842	0,727	8,500	-0,007	-0,055	0,032	24,812	-33,259	-12,311	1010,760	30,281	4,003
3970,000	0,574	9,765	0,725	8,500	-0,011	-0,055	0,031	25,176	-33,259	-12,331	1010,760	30,281	4,003
3980,000	0,648	9,765	0,724	8,500	-0,011	-0,050	0,022	24,812	-33,259	-12,311	1010,760	30,281	4,003
3990,000	0,574	9,689	0,725	8,500	-0,006	-0,035	-0,001	24,812	-33,259	-12,641	1010,760	30,281	4,003
4000,000	0,499	9,689	0,651	8,500	0,003	-0,011	-0,010	24,812	-33,259	-12,311	1010,760	30,281	4,003
4010,000	0,425	9,765	0,577	8,500	0,013	0,019	-0,010	24,817	-32,944	-12,307	1010,760	30,281	4,003
4020,000	0,350	9,765	0,503	8,500	0,028	0,053	-0,005	24,812	-33,259	-12,311	1010,760	30,281	4,003
4030,000	0,350	9,842	0,354	8,500	0,033	0,093	0,008	24,817	-32,944	-12,307	1010,760	30,281	4,003
4040,000	0,425	9,842	0,278	8,500	0,038	0,142	0,022	24,812	-33,259	-12,311	1010,760	30,281	4,003
4050,000	0,574	9,765	0,276	8,500	0,043	0,211	0,041	24,817	-32,944	-12,307	1010,760	30,281	4,003
4060,000	0,648	9,689	0,274	8,500	0,047	0,251	0,045	25,176	-33,259	-12,331	1010,760	30,281	4,003
4070,000	0,648	9,765	0,425	8,500	0,062	0,275	0,036	24,812	-33,259	-12,311	1010,760	30,281	4,003
4080,000	0,574	9,765	0,500	8,500	0,067	0,290	0,022	25,176	-33,259	-12,331	1010,760	30,281	4,003
4090,000	0,425	9,765	0,502	8,500	0,067	0,290	0,013	25,181	-32,944	-12,657	1010,760	30,281	4,003
4100,000	0,202	9,765	0,580	8,500	0,077	0,266	0,009	24,817	-32,944	-12,637	1010,760	30,281	4,003
4110,000	0,127	9,765	0,581	8,500	0,077	0,246	0,013	25,170	-33,575	-12,666	1010,760	30,281	4,003
4120,000	0,127	9,765	0,581	8,500	0,077	0,226	0,014	24,812	-33,259	-12,311	1010,760	30,281	4,003
4130,000	0,127	9,765	0,506	8,500	0,077	0,216	0,018	24,817	-32,944	-12,307	1010,760	30,281	4,003
4140,000	0,127	9,765	0,506	8,500	0,072	0,211	0,023	24,812	-33,259	-12,311	1010,760	30,281	4,003
4150,000	0,202	9,765	0,505	8,500	0,072	0,196	0,023	25,176	-33,259	-12,331	1010,760	30,281	4,003
4160,000	0,276	9,842	0,505	8,500	0,062	0,196	0,032	24,812	-33,259	-12,641	1010,760	30,281	4,003
4170,000	0,276	9,842	0,430	8,500	0,057	0,192	0,032	25,176	-33,259	-12,331	1010,760	30,281	4,003
4180,000	0,350	9,765	0,428	8,500	0,057	0,182	0,023	24,812	-33,259	-11,981	1010,760	30,281	4,003
4190,000	0,425	9,765	0,352	8,500	0,067	0,182	0,018	25,176	-33,259	-12,331	1010,760	30,281	4,003
4200,000	0,425	9,765	0,427	8,500	0,072	0,187	0,014	24,812	-33,259	-12,311	1010,760	30,281	4,003
4210,000	0,425	9,765	0,502	8,500	0,081	0,196	0,009	25,176	-33,259	-12,331	1010,760	30,281	4,003
4220,000	0,425	9,842	0,503	8,500	0,081	0,201	0,005	25,176	-33,259	-12,331	1010,760	30,281	4,003
4230,000	0,350	9,842	0,579	8,500	0,081	0,201	0,000	25,176	-33,259	-12,331	1010,760	30,281	4,003
4240,000	0,425	9,765	0,727	8,500	0,077	0,196	0,000	25,170	-33,575	-12,336	1010,760	30,281	4,003
4250,000	0,350	9,842	0,804	8,500	0,072	0,192	0,004	25,176	-33,259	-12,331	1010,760	30,281	4,003
4260,000	0,276	9,842	0,879	8,500	0,076	0,177	0,014	25,170	-33,575	-12,336	1010,760	30,281	4,003
4270,000	0,201	9,842	0,955	8,500	0,076	0,157	0,019	25,176	-33,259	-12,331	1010,760	30,281	4,003
4280,000	0,127	9,842	1,031	8,500	0,072	0,147	0,033	25,176	-33,259	-12,331	1010,760	30,281	4,003
4290,000	0,052	9,918	1,107	8,500	0,067	0,137	0,047	25,170	-33,575	-12,336	1010,760	30,281	4,003
4300,000	-0,022	9,918	1,183	8,500	0,057	0,127	0,060	25,176	-33,259	-12,331	1010,760	30,281	4,003
4310,000	-0,022	9,842	1,108	8,500	0,042	0,123	0,078	24,812	-33,259	-11,981	1010,760	30,281	4,003
4320,000	0,053	9,765	1,031	8,500	0,033	0,108	0,102	24,817	-32,944	-11,977	1010,760	30,281	4,003
4330,000	0,202	9,689	0,879	8,500	0,033	0,098	0,130	25,176	-33,259	-12,331	1010,760	30,281	4,003
4340,000	0,277	9,612	0,653	8,500	0,042	0,103	0,135	24,812	-33,259	-11,981	1010,760	30,281	4,003
4350,000	0,425	9,612	0,426	8,500	0,057	0,123	0,144	24,806	-33,575	-12,316	1010,760	30,281	4,003
4360,000	0,499	9,689	0,276	8,500	0,076	0,157	0,159	24,817	-32,944	-11,977	1010,760	30,281	4,003
4370,000	0,425	9,765	0,277	8,500	0,086	0,187	0,163	24,453	-32,944	-11,957	1010,760	30,281	4,003
4380,000	0,276	9,842	0,280	8,500	0,096	0,201	0,159	24,453	-32,944	-12,287	1010,760	30,281	4,003
4390,000	0,052	9,994	0,433	8,500	0,101	0,196	0,159	24,817	-32,944	-11,977	1010,760	30,281	4,003
4400,000	-0,171	10,071	0,587	8,500	0,101	0,142	0,155	24,442	-33,575	-11,966	1010,760	30,281	4,003
4410,000	-0,543	10,071	0,741	8,500	0,101	0,103	0,146	24,448	-33,259	-11,961	1010,760	30,281	4,003
4420,000	-0,766	9,918	0,817	8,500	0,096	0,068	0,132	24,448	-33,259	-11,961	1010,760	30,281	4,003
4430,000	-0,914	9,842	0,818	8,500	0,101	0,053	0,118	24,448	-33,259	-11,961	1010,760	30,281	4,003
4440,000	-0,914	9,765	0,743	8,500	0,105	0,049	0,104	24,453	-32,944	-11,627	1010,760	30,281	4,003
4450,000	-0,765	9,765	0,516	8,500	0,115	0,078	0,086	24,453	-32,944	-11,627	1010,760	30,281	4,003
4460,000	-0,542	9,765	0,214	8,500	0,125	0,123	0,086	24,453	-32,944	-11,957	1010,760	30,281	4,003
4470,000	-0,245	9,765	-0,090	8,500	0,130	0,172	0,086	24,089	-32,944	-11,937	1010,760	30,281	4,003
4480,000	0,053	9,765	-0,318	8,500	0,130	0,226	0,085	24,817	-32,944	-11,647	1010,760	30,281	4,003
4490,000	0,276	9,842	-0,545	8,500	0,135	0,275	0,085	24,453	-32,944	-11,627	1010,760	30,281	4,003
4500,000	0,425	9,842	-0,697	8,500	0,135	0,320	0,071	24,094	-32,628	-11,603	1010,760	30,281	4,003
4510,000	0,499	9,842	-0,698	8,500	0,140	0,359	0,052	24,089	-32,944	-11,937	1010,810	30,294	3,998
4520,000	0,350	9,842	-0,696	8,500	0,150	0,364	0,038	24,453	-32,944	-11,627	1010,810	30,294	3,998
4530,000	0,201	9,918	-0,469	8,500	0,164	0,354	0,020	24,084	-33,259	-11,611	1010,810	30,294	3,998
4540,000	0,052	9,918	-0,392	8,500	0,174	0,320	0,011	24,453	-32,944	-11,627	1010,810	30,294	3,998
4550,000	-0,096	9,918	-0,240	8,500	0,184	0,285	0,012	24,453	-32,944	-11,297	1010,810	30,294	3,998
4560,000	-0,096	9,918	-0,090	8,500	0,198	0,251	0,008	24,453	-32,944	-11,297	1010,810	30,294	3,998
4570,000	-0,021	9,765	-0,017	8,500	0,217	0,221	0,004	24,453	-32,944	-11,297	1010,810	30,294	3,998
4580,000	0,202	9,765	-0,020	8,500	0,242	0,216	0,010	24,448	-33,259	-11,302	1010,810	30,294	3,998
4590,000	0,499	9,689	-0,024	8,500	0,256	0,226	0,015	24,453	-32,944	-11,297	1010,810	30,294	3,998
4600,000	0,723	9,689	-0,027	8,500	0,271	0,246	0,024	24,453	-32,944	-10,967	1010,810	30,294	3,998
4610,000	1,020	9,842	-0,179	8,500	0,285	0,270	0,015	24,453	-32,944	-10,967	1010,810	30,294	3,998
4620,000	1,243	9,918	-0,331	8,500	0,295	0,330	0,011	24,453	-32,944	-10,967	1010,810	30,294	3,998
4630,000	1,317	9,918	-0,482	8,500	0,276	0,374	0,019	24,817	-32,944	-10,988	1010,810	30,294	3,998
4640,000	1,317	9,994	-0,556	8,500	0,266	0,418	0,018	24,812	-33,259	-10,992	1010,810	30,294	3,998
4650,000	1,317	9,918	-0,632	8,500	0,262	0,458	0,018	24,812	-33,259	-10,992	1010,810	30,294	3,998
4660,000	1,168	9,918	-0,705	8,500	0,247	0,497	0,017	24,812	-33,259	-10,662	1010,810	30,294	3,998
4670,000	1,094	9,918	-0,779	8,500	0,252	0,527	-0,006	24,817	-32,944	-10,658	1010,810	30,294	3,998
4680,000	0,945	9,994	-0,851	8,500	0,252	0,547	-0,011	24,448	-33,259	-10,972	1010,810	30,294	3,998
4690,000	0,796	9,994	-1,000	8,500	0,233	0,566	-0,002	24,812	-33,259	-10,662	1010,810	30,294	3,998
4700,000	0,722	9,918	-1,074	8,500	0,218	0,591	0,011	24,812	-33,259	-10,992	1010,810	30,294	3,998
4710,000	0,573	9,842	-1,073	8,500	0,204	0,611	0,024	24,812	-33,259	-10,662	1010,810	30,294	3,998
4720,000	0,573	9,842	-1,073	8,500	0,199	0,616	0,043	24,812	-33,259	-10,662	1010,810	30,294	3,998
4730,000	0,499	9,918	-1,072	8,500	0,189	0,621	0,066	24,812	-33,259	-10,662	1010,810	30,294	3,998
4740,000	0,499	9,918	-0,997	8,500	0,179	0,606	0,089	24,812	-33,259	-10,662	1010,810	30,294	3,998
